track_name,artist_name,artist_pop,track_pop,danceability
Running Up That Hill (A Deal With God),Kate Bush,81,95,0.629
As It Was,Harry Styles,91,96,0.52
Sunroof,Nicky Youre,73,44,0.768
Heat Waves,Glass Animals,80,89,0.761
About Damn Time,Lizzo,81,92,0.836
Glimpse of Us,Joji,85,97,0.44
Bad Habit,Steve Lacy,83,86,0.686
STAY (with Justin Bieber),The Kid LAROI,83,89,0.591
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88,87,0.728
First Class,Jack Harlow,84,89,0.905
Afraid To Feel,LF SYSTEM,68,86,0.578
Betty (Get Money),Yung Gravy,75,87,0.723
abcdefu,GAYLE,71,87,0.695
Being Good Is Boring,Jena Rose,40,55,0.767
MIDDLE OF THE NIGHT,Elley Duhé,75,91,0.41
Envolver,Anitta,80,86,0.812
AMG,Jt5k,36,0,0.802
SNAP,Rosa Linn,74,89,0.563
Baby Girl,Disco Lines,59,76,0.73
Flex On My Ex (with Bankrol Hayden),KillBunk,60,57,0.619
House of Memories,Panic! At The Disco,78,86,0.506
The Plan,Arman Aydin,64,58,0.812
Thousand Miles,The Kid LAROI,83,84,0.376
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,81,86,0.736
Until I Found You,Stephen Sanchez,74,90,0.539
Oh No,Kreepa,41,58,0.541
Cooped Up (with Roddy Ricch),Post Malone,89,83,0.669
TO THE MOON,Jnr Choi,63,79,0.745
Dreamer,Astelle,32,42,0.744
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,63,58,0.827
Pepas,YES YES,54,58,0.691
Bam Bam (feat. Ed Sheeran),Camila Cabello,82,83,0.756
Fever - Remix,XY&O,31,0,0.782
On My Way!,P.S.,39,54,0.797
Another Love,Tom Odell,74,89,0.445
Frozen,Madonna,77,76,0.706
Riptide,Viva La Panda,56,51,0.621
Down Under (feat. Colin Hay),Luude,68,72,0.308
Meet Me At Our Spot,THE ANXIETY,65,81,0.773
When You're Gone,Paradigm,62,53,0.783
That Bxtch,Taylor Watson,29,47,0.645
Long Road,HotBlock Jmoe,34,52,0.738
Without You,John De Sohn,61,0,0.643
Light Switch,Charlie Puth,83,79,0.69
I Wanna Know,Alex Alexander,46,52,0.772
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,72,82,0.792
credit union,Kinrose,41,32,0.776
love nwantiti (ah ah ah),CKay,73,84,0.727
Bad Habits,Ed Sheeran,90,22,0.808
Leap of Faith,Alex Alexander,46,51,0.557
Ocean Eyes,Farux,45,42,0.729
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,29,45,0.808
Late Night Talking,Harry Styles,91,93,0.714
Moi... Lolita,Monaldin,47,49,0.796
Warning / Signs,Matvey Emerson,51,46,0.712
Serenity,Shab,37,46,0.688
MAMIII,Becky G,81,87,0.843
Running To You (feat. Caden),VINAI,64,65,0.579
Good Morning,P.S.,39,50,0.732
MONTERO (Call Me By Your Name),Lil Nas X,81,4,0.61
Tainted Love,Thatsimo,44,47,0.646
Build a Bitch,Bella Poarch,65,76,0.855
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,64,80,0.87
Can't Get You Out of My Head,loafers,48,52,0.642
THATS WHAT I WANT,Lil Nas X,81,88,0.737
We Know,JAM & Philly,21,39,0.871
Cold Heart - PNAU Remix,Elton John,82,73,0.795
Jiggle Jiggle,Duke & Jones,64,81,0.864
Lost,Frank Ocean,82,0,0.912
Would I Lie to You,MISERO,40,51,0.796
Crazy,Alex D'Rosso,56,53,0.681
Life Goes On,Oliver Tree,70,80,0.7
Dinero,Trinidad Cardona,63,73,0.708
Pieces,Nippandab,40,42,0.698
Pope Is a Rockstar,SALES,61,74,0.725
Looking for Love,Asketa & Natan Chaim,42,0,0.748
edamame (feat. Rich Brian),bbno$,72,77,0.815
I Hate U,SZA,82,79,0.535
She Wolf (Falling to Pieces),YES YES,54,0,0.592
Memories,Coopex,60,64,0.745
Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,52,68,0.807
Say My Name,Why Not,36,54,0.773
Woman,Doja Cat,88,89,0.824
Leave The Door Open,Bruno Mars,86,31,0.586
I AM WOMAN,Emmy Meli,59,76,0.646
Paint It Black,Dame Dame,48,56,0.69
Vacation,Dirty Heads,65,67,0.736
Free Falling Love,Lucas Estrada,63,58,0.771
Ocean Drive,Harddope,49,51,0.645
Kiss Me More (feat. SZA),Doja Cat,88,82,0.762
Beggin',Måneskin,78,86,0.714
The Hills,Farux,45,48,0.656
Young Folks,Jungle Jonsson,40,48,0.75
good 4 u,Olivia Rodrigo,85,88,0.563
Complicated,Nito-Onna,61,52,0.724
Jalebi Baby (Tesher x Jason Derulo),Tesher,61,73,0.691
You Don't Know Me,Dame Dame,48,49,0.701
Talking to the Moon,Bruno Mars,86,76,0.498
Say It Right,MØRFI,39,50,0.764
Astronaut In The Ocean,Masked Wolf,68,79,0.778
Creep,Naeleck,61,65,0.615
Counting Stars,Farux,45,54,0.659
Buss It,Erica Banks,54,0,0.918
When You Were Young,Amero,46,31,0.806
Apologize,Farux,45,48,0.677
Beauty And A Beat,Glamii,38,36,0.746
Why,Padé,39,38,0.61
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,68,83,0.717
The Motto,Tiësto,82,87,0.754
Need to Know,Doja Cat,88,85,0.664
Whatever You Like,DLAY,34,49,0.687
MONEY,LISA,70,79,0.831
Freaks,Surf Curse,69,85,0.345
Heart of Glass,Nito-Onna,61,54,0.75
Blinding Lights,The Weeknd,93,90,0.514
Thot Shit,Megan Thee Stallion,82,72,0.95
Mr. Saxobeat,Nito-Onna,61,43,0.696
Moves Like Jagger,Timemachine,35,46,0.552
Pumped Up Kicks,Madism,66,75,0.669
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,85,82,0.713
RAPSTAR,Polo G,83,49,0.789
Lies,Dame Dame,48,37,0.823
Ready 4 Luv - TMLH Summer Mix,CAZZETTE,50,55,0.679
Ain't Shit,Doja Cat,88,81,0.855
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,66,77,0.722
So Pretty,Reyanna Maria,51,66,0.799
Todo De Ti,Rauw Alejandro,89,82,0.78
Write This Down (Instrumental),SoulChef,55,1,0.826
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,86,0.677
positions,Ariana Grande,87,3,0.736
Slow Down,Coopex,60,0,0.715
What If,HOURS,35,0,0.609
Running Away,VANO 3000,55,72,0.58
Aesthetic,Xilo,39,2,0.714
Levitating (feat. DaBaby),Dua Lipa,88,85,0.702
Work from Home,Coopex,60,54,0.845
Bundles (feat. Taylor Girlz),Kayla Nicole,54,67,0.939
Sweater Weather,The Neighbourhood,83,90,0.612
As It Was,Michael Shynes,52,46,0.595
Follow Me,Senhit,44,60,0.707
Calling My Phone,Lil Tjay,79,15,0.907
Wicked Game,YES YES,54,55,0.755
You Right,Doja Cat,88,84,0.828
Whoopty,CJ,63,74,0.719
Electric Love,BØRNS,67,82,0.611
When Hello Means Goodbye,Alex Alexander,46,44,0.741
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,75,76,0.601
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,68,83,0.824
Hawái,Maluma,83,77,0.783
Mood (feat. iann dior),24kGoldn,74,18,0.7
Paid,Astelle,32,39,0.861
drivers license,Olivia Rodrigo,85,29,0.585
Lemonade,Internet Money,72,76,0.799
K Boy Bye,Astelle,32,39,0.547
Up,Cardi B,81,70,0.868
Just The Two of Us,Kauai45,50,67,0.592
Play With Me,Ana Shine,39,48,0.714
Best Friend (feat. Doja Cat),Saweetie,73,45,0.84
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,68,77,0.72
Forever,Nadia Gattas,46,51,0.75
The Business,Tiësto,82,83,0.798
telepatía,Kali Uchis,78,82,0.653
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,80,72,0.539
motive (with Doja Cat),Ariana Grande,87,57,0.789
Feel Your Love,Yusuf Alev,46,43,0.68
Lost on You,sad girls,48,53,0.599
Good Days,SZA,82,81,0.436
What You Know Bout Love,Pop Smoke,83,81,0.709
Rude Boy,YES YES,54,50,0.739
WAP (feat. Megan Thee Stallion),Cardi B,81,80,0.935
Savage Love (Laxed - Siren Beat),Jawsh 685,63,77,0.767
dirty laundry,blackbear,80,65,0.766
HOLIDAY,Lil Nas X,81,73,0.81
WITHOUT YOU,The Kid LAROI,83,80,0.662
Fly,Alex D'Rosso,56,53,0.676
ROCKSTAR (feat. Roddy Ricch),DaBaby,82,80,0.746
34+35,Ariana Grande,87,80,0.83
Rover (feat. DTG),S1mba,64,78,0.613
Put Your Records On,Ritt Momney,60,1,0.399
Mood Swings (feat. Lil Tjay),Pop Smoke,83,78,0.48
Therefore I Am,Billie Eilish,88,75,0.889
Wild & Free,Nander,37,39,0.474
Glad You Came,Braaheim,59,48,0.732
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,83,80,0.823
Backyard Boy,Claire Rosinkranz,63,0,0.819
TKN (feat. Travis Scott),ROSALÍA,83,72,0.776
Say It Right,Coopex,60,60,0.712
Without You,Baby Bluu,31,49,0.625
Play Date,Melanie Martinez,78,78,0.68
Freak,Doja Cat,88,72,0.688
Falling Down,Andrew Nagy,32,38,0.574
Wait a Minute!,WILLOW,76,86,0.764
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,53,65,0.824
Over You,Myrrhe,26,37,0.863
FLIP THE SWITCH (feat. Drake),Quavo,79,67,0.853
The Boss,Coopex,60,47,0.734
Party Girl,StaySolidRocky,59,71,0.728
Love Me Again,CPX,52,46,0.798
Renee,SALES,61,65,0.924
Don't Rush (feat. Headie One),Young T & Bugsey,60,63,0.961
Right Here Waiting,Boostereo,52,0,0.639
THE SCOTTS,THE SCOTTS,58,76,0.716
Cool for the Summer,Alex D'Rosso,56,49,0.805
Kiss Me,Lucas Estrada,63,47,0.588
Red Flag,Pia Baris,18,31,0.715
One too Many Times,JRL,44,47,0.721
Boys Ain't Shit,SAYGRACE,58,64,0.826
Boss Bitch,Doja Cat,88,78,0.707
Only Girl,Coopex,60,52,0.792
Tap In,Saweetie,73,67,0.954
Forever,Gianni Blu,46,54,0.753
Rather Be,Cabuizee,40,46,0.706
Savage,Megan Thee Stallion,82,70,0.843
Blueberry Faygo,Lil Mosey,70,75,0.774
Break My Heart,Dua Lipa,88,78,0.73
On My Way,Alex Alexander,46,40,0.67
Astronomia,Vicetone,63,60,0.653
The Box,Roddy Ricch,80,81,0.896
What's up?,LeXxìv,32,43,0.641
Supalonely,BENEE,67,72,0.863
Toosie Slide,Drake,95,69,0.83
Don't Start Now,Dua Lipa,88,79,0.794
Be Kind (with Halsey),Marshmello,83,77,0.63
Intentions (feat. Quavo),Justin Bieber,90,77,0.806
Old Times,Xtinctor,21,38,0.581
"Hey, Soul Sister",LANDR,41,41,0.642
Later Bitches,The Prince Karma,50,49,0.769
Life Is Good (feat. Drake),Future,87,77,0.676
WHATS POPPIN,Jack Harlow,84,4,0.923
Let Her Go,LANDR,41,44,0.712
Sunday Best,Surfaces,71,77,0.878
DÁKITI,Dame Dame,48,47,0.726
Say So,Doja Cat,88,80,0.787
In Your Eyes,The Weeknd,93,79,0.667
Falling,Trevor Daniel,66,15,0.785
Let It Go,Dame Dame,48,38,0.769
death bed (coffee for your head),Powfu,71,82,0.726
That Way,Lil Uzi Vert,85,62,0.719
Baby I'm Yours,Breakbot,57,69,0.829
BOP,DaBaby,82,76,0.769
OUT WEST (feat. Young Thug),JACKBOYS,65,77,0.802
Blinding Lights,The Weeknd,93,18,0.513
When the Sun Goes Down,Martin van Lectro,39,37,0.544
Skechers,DripReport,54,0,0.907
ROXANNE,Arizona Zervas,66,78,0.621
Shooting Stars,Bag Raiders,53,0,0.649
The Git Up,Blanco Brown,60,3,0.847
Payphone,Faruk Orman,43,45,0.721
I Don't Care (with Justin Bieber),Ed Sheeran,90,78,0.798
hot girl bummer,blackbear,80,5,0.778
Demons,CPX,52,56,0.7
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,85,74,0.851
Without Me,Halsey,83,77,0.752
Plug Walk,Rich The Kid,67,70,0.876
California Dreaming,Jorm,42,53,0.717
Rockstar,Ilkay Sencan,61,69,0.771
Falling for U,Peachy!,57,1,0.516
Lovely,Alfons,58,45,0.504
The Less I Know The Better,Tame Impala,78,84,0.64
Dandelions,Ruth B.,75,90,0.609
Jimmy Cooks (feat. 21 Savage),Drake,95,92,0.529
Good Looking,Suki Waterhouse,64,80,0.377
INFERNO,Sub Urban,67,71,0.82
